Product Name,Vendor Name,Product Type,Number of Vulnerabilities
Debian Linux,Debian,OS,3067
Android,Google,OS,2563
Linux Kernel,Linux,OS,2357
Mac Os X,Apple,OS,2212
Ubuntu Linux,Canonical,OS,2007
Firefox,Mozilla,Application,1873
Chrome,Google,Application,1858
Iphone Os,Apple,OS,1655
Windows Server 2008,Microsoft,OS,1421
Windows 7,Microsoft,OS,1283
Acrobat Reader Dc,Adobe,Application,1182
Acrobat Dc,Adobe,Application,1182
Windows 10,Microsoft,OS,1111
Flash Player,Adobe,Application,1078
Windows Server 2012,Microsoft,OS,1050
Enterprise Linux Desktop,Redhat,OS,1039
Internet Explorer,Microsoft,Application,1030
Safari,Apple,Application,1029
Enterprise Linux Server,Redhat,OS,979
Windows 8.1,Microsoft,OS,978
Acrobat,Adobe,Application,949
Enterprise Linux Workstation,Redhat,OS,941
Thunderbird,Mozilla,Application,921
Opensuse,Opensuse,OS,918
Windows Server 2016,Microsoft,OS,889
Windows Rt 8.1,Microsoft,OS,848
Windows Vista,Microsoft,OS,831
Windows Xp,Microsoft,OS,741
Mysql,Oracle,Application,716
Seamonkey,Mozilla,Application,698
Fedora,Fedoraproject,OS,697
Acrobat Reader,Adobe,Application,681
Firefox Esr,Mozilla,Application,672
Enterprise Linux,Redhat,OS,662
Mac Os X Server,Apple,OS,640
IE,Microsoft,Application,631
JRE,Oracle,Application,617
Edge,Microsoft,Application,615
JDK,Oracle,Application,607
PHP,PHP,Application,604
Itunes,Apple,Application,601
Leap,Opensuse,OS,595
Wireshark,Wireshark,Application,576
Sunos,SUN,OS,569
Office,Microsoft,Application,546
Imagemagick,Imagemagick,Application,545
IOS,Cisco,OS,532
Windows 2000,Microsoft,OS,514
Watchos,Apple,OS,473
Solaris,SUN,OS,465
